,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
0,1, Sec-17 Rohini, 1 - Block-A Pkt-3 , Rohini Sector-17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2, Sec-17 Rohini, 1 - Block-A Pkt-4 , Rohini Sector-17, 2 - Block-A Pkt-5, Rohini Sector-17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3, Sec-17 Rohini, 1 - B-Block Pkt-1, Rohini Sector-17, 2 - Elder Home Society-4, Sector-17 Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4, Sec-17 Rohini, 1 - B-Block Pkt-2, Rohini Sector-17, 2 - Police Chowki, Sector -17, Rohini, 3 - B-Block Pkt-5 Sector -17, Rohini, 4 - B-Block Pkt-3, Rohini Sector-17, 5 - B-4, Sector -17, Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5, Sec-17 Rohini, 1 - B-Block Pkt-6 , Rohini Sector-17, 2 - Shahbad Extension Near B-Block Pkt-6, Rohini Sector-17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6, Sec-17 Rohini, 1 - A-Block Pkt-6, Rohini Sector-17, 2 - A-Block Pkt-8, Rohini Sector-17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7, Sec-16 Rohini, 1 - A-Block Pkt-7, Rohini Sector-17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8, Sec-17 Rohini, 1 - A-Block Pkt-1, Rohini Sector-17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9, Sec-17 Rohini, 1 - A-Block Pkt-2, Rohini Sector-17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10, Sec-17 Rohini, 1 - Block-B Pkt-7, Rohini Sector-17, 2 - Block-B Pkt-7A, Rohini Sector-17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11, Sec-17 Rohini, 1 - Block-C Pkt-1, Rohini Sector-17, 2 - Block-C, Pkt-2, Rohini Sector 17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12, Sec-17 Rohini, 1 - Block-A, Amar Jyoti Colony, Rohini Sector-17, 2 - Block-B, Amar Jyoti Colony, Rohini Sector-17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13, Sec-17 Rohini, 1 - Block-C, Amar Jyoti Colony, Rohini Sector-17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14, Rohini Sector-16, 1 - Block- J, Sardar Colony, Rohini Sector-16, 2 - Block- J, Shri Krishna Appt., Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15, Rohini Sector-16, 1 - Block- J, Sardar Colony, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16, Rohini Sector-16, 1 - Block- J, Sardar Colony, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17, Rohini Sector-16, 1 - Block-J, Sector-16, Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18, Rohini Sector-16, 1 - Block-E, Pkt-1, Rohini Sector-16, 2 - Block-E, Pkt-2 , Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19, Rohini Sector-16, 1 - Block-F, Pkt-1 , Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20, Rohini Sector-16, 1 - Block-E, Pkt-3 , Rohini Sector-16, 2 - Block-E, Pkt-4 , Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21, Rohini Sector-16, 1 - Block E, Pkt 5, Rohini Sector-16, 2 - Block-F, Pkt-2 , Rohini Sector-16, 3 - A S Mandir, Pkt E 5, Sec-16, Rohini, 4 - Mandir, Pkt F 2, Sec-16, Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22, Rohini Sector-16, 1 - Block-F, Pkt-3 , Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23, Rohini Sector-16, 1 - Block-F Pkt-4, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24, Rohini Sector-16, 1 - Block-F, Pkt-5, Rohini Sector-16, 2 - Block-F Pkt-6, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25, Rohini Sector-16, 1 - Block-F, Pkt-7, Rohini Sector-16, 2 - Block-F, Pkt-7A, Rohini Sector-16, 3 - Mandir, Pkt F 7, Sec - 16 , Rohini, 4 - Mandir, Pkt F 7 A, Sec -16 , Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26, Rohini Sector-16, 1 - Block-G, Pkt-1, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27, Rohini Sector-16, 1 - Block-G, Pkt-2, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28, Rohini Sector-16, 1 - Block-G, Pkt-3, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29, Rohini Sector-16, 1 - Block-G, Pkt-4, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30, Rohini Sector-16, 1 - Block-G, Pkt-5 , Rohini Sector-16, 2 - Mandir, Pkt G 5, Sec 16 , Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31, Rohini Sector-16, 1 - Block-G, Pkt-6, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,32, Rohini Sector-16, 1 - Block-G, Pkt-8, Rohini Sector-16, 2 - Block-G, Pkt-9, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,33, Rohini Sector-16, 1 - Block-G, Pkt-7 , Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34, Rohini Sector-16, 1 - Block-I, Pkt-1, Rohini Sector-16, 2 - Block-I, Pkt-2 , Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35, Rohini Sector-16, 1 - Block-I, Pkt-3, Rohini Sector-16, 2 - Block-I, Pkt-4, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36, Rohini Sector-16, 1 - Block-I, Pkt-5, Rohini Sector-16, 2 - Block-I, Pkt-6 , Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,37, Rohini Sector-16, 1 - Block-I, Pkt-7, Rohini Sector-16, 2 - Block-I, Pkt-8 , Rohini Sector-16, 3 - Block-I, Pkt-9, Sector-16 Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,38, Rohini Sector-16, 1 - H-Block, Pkt-1, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,39, Rohini Sector-16, 1 - H-Block, Pkt-2, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,40, Rohini Sector-16, 1 - H-Block, Pkt-3, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,41, Rohini Sector-16, 1 - H-Block, Pkt-4, Rohini Sector-16, 2 - H-Block, Pkt-5, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,42, Rohini Sector-16, 1 - D-Block, Pkt-1, Rohini Sector-16, 2 - D-Block, Pkt-3, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,43, Rohini Sector-16, 1 - B-Block, Pkt-1, Rohini Sector-16, 2 - B-Block, Pkt-2 , Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,44, Rohini Sector-16, 1 - B-Block, Pkt-3 , Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,45, Rohini Sector-16, 1 - Block-C, Pkt-1, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,46, Rohini Sector-16, 1 - Block-C, Pkt-2, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47, Rohini Sector-16, 1 - Block A, Pocket-8, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,48, Rohini Sector-16, 1 - Block-A, Pkt-1, Rohini Sector-16, 2 - Block-A, Pkt-2 , Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,49, Rohini Sector-16, 1 - Block-A, Pkt-3 , Rohini Sector-16, 2 - Block-A, Pkt-4, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,50, Rohini Sector-16, 1 - Block-A, Pkt-5, Rohini Sector-16, 2 - Block-A, Pkt-6, Rohini Sector-16, 3 - Block-A, Pkt-7, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,51, Rohini Sec 11, 1 - Block-A, Pkt-1, Sector-11 Rohini, 2 - Block-A, Pkt-2, Sector-11 Rohini, 3 - Block-A, Pkt-3, Sector-11 Rohini, 4 - Kg Mandir, Pkt A-3, Sec-11, Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,52, Rohini Sec 11, 1 - Block-B, Pkt-1, Sector-11 Rohini, 2 - Block-B, Pkt-2, Sector-11 Rohini, 3 - Block-B, Pkt-3, Sector-11 Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,53, Rohini Sec 11, 1 - Block-B, Pkt-4, Sector-11 Rohini, 2 - Block-B, Pkt-5, Sector-11 Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,54, Rohini Sec 11, 1 - Block-B, Pkt-6, Sector-11 Rohini, 2 - Block-B, Pkt-7 , Sector-11 Rohini, 3 - Block-B, Pkt-8, Sector-11 Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,55, Rohini Sec 11, 1 - Block-C, Pkt-1, Sector-11 Rohini, 2 - Block-C, Pkt-2, Sector-11 Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,56, Rohini Sec 11, 1 - Block-C, Pkt-3, Sector-11 Rohini, 2 - Block-C, Pkt-4, Sector-11 Rohini, 3 - Block-C, Pkt-5 , Sector-11 Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,57, Rohini Sec 11, 1 - Block-D, Pkt-1, Sector-11 Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,58, Rohini Sec 11, 1 - Block-D, Pkt-2 , Sector-11 Rohini, 2 - Block-D, Pkt-3 , Sector-11 Rohini, 3 - D I U Police Post, Sector-11 Near D-2 Market, Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,59, Rohini Sec 11, 1 - Block-E, Pkt-1, Sector-11 Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,60, Rohini Sec 11, 1 - Block-E, Pkt-2, Sector-11 Rohini, 2 - Block-E, Pkt-3 , Sector-11 Rohini, 3 - Block-E, Pkt-4, Sector-11 Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,61, Rohini Sec 11, 1 - Block-F, Pkt-1 , Sector-11 Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,62, Rohini Sec 11, 1 - Block-F, Pkt-2 , Sector-11 Rohini, 2 - Block-F, Pkt-3 , Sector-11 Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,63, Rohini Sec 11, 1 - Block-G, Pkt-1, Sector-11 Rohini, 2 - Block-G, Pkt-2, Sector-11 Rohini, 3 - Block-G , Pkt-3 , Sector-11 Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,64, Rohini Sec 11, 1 - Block-G, Pkt-4, Sector-11 Rohini, 2 - Block-G, Pkt-5, Sector-11 Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,65, Rohini Sec 11, 1 - Block-G, Pkt-6, Sector-11 Rohini, 2 - Block-G, Pkt-7, Sector-11 Rohini, 3 - Block-G, Pkt-8, Sector-11 Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,66, Rohini Sec 11, 1 - Block-H, Pkt-1, Sector-11 Rohini, 2 - Block-H, Pkt-2, Sector-11 Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,67, Rohini Sec 11, 1 - Block-H, Pkt-3, Sector-11 Rohini, 2 - Block-H, Pkt-4 , Sector-11 Rohini, 3 - Block-H, Pkt-5, Sector-11 Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,68, Rohini Sec 11, 1 - Golden Jublee Flats(S.F.S), Sector-11 Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,69, Rohini Sec 11, 1 - Damb Apptt., Sector-11 Rohini, 2 - Delhi Govt Flats, Sector-11 Rohini, 3 - Ndmc Flats, Sector-11 Rohini, 4 - N D P L Complex, Sector-11 Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,70, Rithala Village, 1 - Devi Mandir, Rithala Village, 2 - Mansjid Wali Gali, Rithala Village, 3 - Papochiya Patti , Rithala Village],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,71, Rithala Village, 1 - Dispensery Gali M C D, Rithala Village, 2 - Near Ram Place, Rithala Village, 3 - Near Chawal Mill, Rithala Vill],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,72, Rithala Village, 1 - Post Office Wali Gali, Rithala Village, 2 - Parjapati Wali Gali, Rithala Village],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,73, Rithala Village, 1 - Pal Colony, Rithala Village],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,74, Rithala Village, 1 - Bank Wali Gali, Rithala Village, 2 - Old Bank Wali Gali, Rithala Village],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
